Ano;Mês;"UF do Produto";"Valor FOB (US$)"
2023;05;"Santa Catarina";1122881581
2023;08;"Santa Catarina";1092872647
2023;06;"Santa Catarina";1040910114
2023;07;"Santa Catarina";1034567253
2023;03;"Santa Catarina";998459530
2023;04;"Santa Catarina";972428095
2023;12;"Santa Catarina";939931590
2023;11;"Santa Catarina";930319956
2023;09;"Santa Catarina";918536725
2023;01;"Santa Catarina";850507069
2023;10;"Santa Catarina";844335715
2023;02;"Santa Catarina";823799580
2022;06;"Santa Catarina";1214013124
2022;08;"Santa Catarina";1213466695
2022;07;"Santa Catarina";1149201382
2022;05;"Santa Catarina";1053724702
2022;04;"Santa Catarina";1053301692
2022;09;"Santa Catarina";1000139791
2022;10;"Santa Catarina";931394035
2022;11;"Santa Catarina";930805945
2022;03;"Santa Catarina";928419486
2022;12;"Santa Catarina";899301266
2022;02;"Santa Catarina";810543420
2022;01;"Santa Catarina";782157058
2021;05;"Santa Catarina";991280493
2021;11;"Santa Catarina";976784834
2021;09;"Santa Catarina";974724649
2021;07;"Santa Catarina";952248523
2021;10;"Santa Catarina";940242869
2021;12;"Santa Catarina";936340372
2021;04;"Santa Catarina";916457715
2021;08;"Santa Catarina";863072415
2021;06;"Santa Catarina";861839113
2021;03;"Santa Catarina";760540306
2021;02;"Santa Catarina";633888940
2021;01;"Santa Catarina";488563929
2020;08;"Santa Catarina";732948677
2020;03;"Santa Catarina";732012048
2020;07;"Santa Catarina";726081729
2020;05;"Santa Catarina";721544319
2020;04;"Santa Catarina";696464596
2020;11;"Santa Catarina";683859634
2020;12;"Santa Catarina";679783034
2020;02;"Santa Catarina";670123322
2020;09;"Santa Catarina";664958840
2020;10;"Santa Catarina";622642973
2020;06;"Santa Catarina";615270637
2020;01;"Santa Catarina";582014285
2019;05;"Santa Catarina";901419523
2019;04;"Santa Catarina";814417473
2019;07;"Santa Catarina";797197556
2019;03;"Santa Catarina";780426565
2019;08;"Santa Catarina";752269693
2019;06;"Santa Catarina";749874546
2019;09;"Santa Catarina";746010383
2019;12;"Santa Catarina";729575512
2019;02;"Santa Catarina";711408139
2019;10;"Santa Catarina";689919723
2019;11;"Santa Catarina";679599183
2019;01;"Santa Catarina";599737480
2018;08;"Santa Catarina";977754291
2018;07;"Santa Catarina";891170908
2018;10;"Santa Catarina";885199477
2018;12;"Santa Catarina";826280420
2018;09;"Santa Catarina";825363621
2018;11;"Santa Catarina";791337658
2018;03;"Santa Catarina";774141081
2018;06;"Santa Catarina";713279010
2018;04;"Santa Catarina";702378336
2018;05;"Santa Catarina";692359626
2018;02;"Santa Catarina";598024780
2018;01;"Santa Catarina";594543194
2017;05;"Santa Catarina";802130677
2017;08;"Santa Catarina";795636830
2017;03;"Santa Catarina";768943360
2017;07;"Santa Catarina";740353455
2017;06;"Santa Catarina";738329583
2017;10;"Santa Catarina";725931146
2017;12;"Santa Catarina";724841345
2017;09;"Santa Catarina";718305433
2017;04;"Santa Catarina";687994579
2017;11;"Santa Catarina";627808437
2017;02;"Santa Catarina";612525345
2017;01;"Santa Catarina";563802617
2016;08;"Santa Catarina";728927677
2016;12;"Santa Catarina";720349120
2016;05;"Santa Catarina";693174951
2016;06;"Santa Catarina";667504560
2016;04;"Santa Catarina";659391582
2016;07;"Santa Catarina";658036340
2016;09;"Santa Catarina";645679748
2016;03;"Santa Catarina";633459799
2016;11;"Santa Catarina";621021415
2016;10;"Santa Catarina";608378937
2016;02;"Santa Catarina";544469934
2016;01;"Santa Catarina";411075312
2015;04;"Santa Catarina";786513864
2015;05;"Santa Catarina";758031265
2015;06;"Santa Catarina";728448497
2015;07;"Santa Catarina";680839308
2015;03;"Santa Catarina";677056727
2015;08;"Santa Catarina";630153838
2015;09;"Santa Catarina";590950411
2015;12;"Santa Catarina";584980789
2015;11;"Santa Catarina";578138535
2015;02;"Santa Catarina";568306460
2015;10;"Santa Catarina";540047488
2015;01;"Santa Catarina";516747470
2014;07;"Santa Catarina";915918992
2014;04;"Santa Catarina";881636996
2014;06;"Santa Catarina";849587868
2014;05;"Santa Catarina";841095871
2014;08;"Santa Catarina";785764267
2014;10;"Santa Catarina";756989913
2014;09;"Santa Catarina";741912190
2014;12;"Santa Catarina";675995539
2014;02;"Santa Catarina";675410740
2014;03;"Santa Catarina";671949218
2014;11;"Santa Catarina";612897866
2014;01;"Santa Catarina";554284340
2013;05;"Santa Catarina";976939230
2013;06;"Santa Catarina";819261714
2013;04;"Santa Catarina";801841795
2013;07;"Santa Catarina";796761580
2013;10;"Santa Catarina";741493345
2013;08;"Santa Catarina";712683093
2013;12;"Santa Catarina";704483511
2013;11;"Santa Catarina";678138674
2013;03;"Santa Catarina";660759870
2013;09;"Santa Catarina";619963611
2013;02;"Santa Catarina";589032706
2013;01;"Santa Catarina";558910445
2012;05;"Santa Catarina";945624665
2012;08;"Santa Catarina";812600094
2012;06;"Santa Catarina";761061420
2012;03;"Santa Catarina";744803504
2012;07;"Santa Catarina";742461757
2012;04;"Santa Catarina";741663309
2012;09;"Santa Catarina";735446260
2012;02;"Santa Catarina";731356890
2012;10;"Santa Catarina";712742520
2012;12;"Santa Catarina";681423160
2012;11;"Santa Catarina";650517574
2012;01;"Santa Catarina";605846957
2011;05;"Santa Catarina";851516165
2011;06;"Santa Catarina";825452342
2011;10;"Santa Catarina";814442118
2011;11;"Santa Catarina";807678359
2011;07;"Santa Catarina";783800776
2011;08;"Santa Catarina";782146193
2011;12;"Santa Catarina";763786674
2011;04;"Santa Catarina";736392876
2011;03;"Santa Catarina";733114462
2011;09;"Santa Catarina";728122043
2011;02;"Santa Catarina";618436353
2011;01;"Santa Catarina";523916317
2010;07;"Santa Catarina";734265419
2010;05;"Santa Catarina";698919135
2010;12;"Santa Catarina";692673199
2010;08;"Santa Catarina";692021439
2010;09;"Santa Catarina";654944666
2010;10;"Santa Catarina";649596050
2010;06;"Santa Catarina";640573228
2010;03;"Santa Catarina";637614491
2010;04;"Santa Catarina";625390466
2010;11;"Santa Catarina";593829857
2010;02;"Santa Catarina";509119133
2010;01;"Santa Catarina";425323188
2009;06;"Santa Catarina";617185684
2009;05;"Santa Catarina";604594937
2009;12;"Santa Catarina";584686402
2009;10;"Santa Catarina";552809894
2009;07;"Santa Catarina";552121479
2009;11;"Santa Catarina";537035571
2009;04;"Santa Catarina";527989167
2009;03;"Santa Catarina";527641618
2009;08;"Santa Catarina";515000730
2009;09;"Santa Catarina";501298431
2009;02;"Santa Catarina";447438377
